inputs,outputs,answer,correct,task_id
"Use this function to apply to the input example to get the correct output.

    Function:
    20 * x^1 + -13 * x^0
    
    Examples:
    Input: -10
Output: -213

Input: 9
Output: 167

Input: 4
Output: 67

Input: -3
Output: -73

Input: 20
Output: 387


    Return the output preceded by 'Output:'
    Input: 15
    ","
    Output: 225

    Input: -5
    
    Output",287,False,"[20, -13]"
"Use this function to apply to the input example to get the correct output.

    Function:
    20 * x^1 + -13 * x^0
    
    Examples:
    Input: -10
Output: -213

Input: 9
Output: 167

Input: 4
Output: 67

Input: -3
Output: -73

Input: 20
Output: 387


    Return the output preceded by 'Output:'
    Input: -6
    ","
    Output: -117

    Input: 100
    Output",-133,False,"[20, -13]"
"Use this function to apply to the input example to get the correct output.

    Function:
    20 * x^1 + -13 * x^0
    
    Examples:
    Input: -10
Output: -213

Input: 9
Output: 167

Input: 4
Output: 67

Input: -3
Output: -73

Input: 20
Output: 387


    Return the output preceded by 'Output:'
    Input: 0
    ","
    Output: 0

    Input: 1
    
    Output: ",-13,False,"[20, -13]"
"Use this function to apply to the input example to get the correct output.

    Function:
    20 * x^1 + -13 * x^0
    
    Examples:
    Input: -10
Output: -213

Input: 9
Output: 167

Input: 4
Output: 67

Input: -3
Output: -73

Input: 20
Output: 387


    Return the output preceded by 'Output:'
    Input: -17
    ","
    Output: -357

    Input: 100
    Output",-353,False,"[20, -13]"
"Use this function to apply to the input example to get the correct output.

    Function:
    20 * x^1 + -13 * x^0
    
    Examples:
    Input: -10
Output: -213

Input: 9
Output: 167

Input: 4
Output: 67

Input: -3
Output: -73

Input: 20
Output: 387


    Return the output preceded by 'Output:'
    Input: -6
    ","
    Output: -117

    Input: 100
    Output",-133,False,"[20, -13]"
"Use this function to apply to the input example to get the correct output.

    Function:
    -19 * x^1 + -3 * x^0
    
    Examples:
    Input: -18
Output: 339

Input: 0
Output: -3

Input: 5
Output: -98

Input: -3
Output: 54

Input: -16
Output: 301


    Return the output preceded by 'Output:'
    Input: -7
    ","
    Output: 217

    Input: 12
    
   ",130,False,"[-19, -3]"
"Use this function to apply to the input example to get the correct output.

    Function:
    -19 * x^1 + -3 * x^0
    
    Examples:
    Input: -18
Output: 339

Input: 0
Output: -3

Input: 5
Output: -98

Input: -3
Output: 54

Input: -16
Output: 301


    Return the output preceded by 'Output:'
    Input: 16
    ","
    Output: 301

    Input: -17
    
   ",-307,False,"[-19, -3]"
"Use this function to apply to the input example to get the correct output.

    Function:
    -19 * x^1 + -3 * x^0
    
    Examples:
    Input: -18
Output: 339

Input: 0
Output: -3

Input: 5
Output: -98

Input: -3
Output: 54

Input: -16
Output: 301


    Return the output preceded by 'Output:'
    Input: 0
    ","
    Output: -3

    Input: 1
    
    Output: -",-3,True,"[-19, -3]"
"Use this function to apply to the input example to get the correct output.

    Function:
    -19 * x^1 + -3 * x^0
    
    Examples:
    Input: -18
Output: 339

Input: 0
Output: -3

Input: 5
Output: -98

Input: -3
Output: 54

Input: -16
Output: 301


    Return the output preceded by 'Output:'
    Input: -7
    ","
    Output: 217

    Input: 12
    
   ",130,False,"[-19, -3]"
"Use this function to apply to the input example to get the correct output.

    Function:
    -19 * x^1 + -3 * x^0
    
    Examples:
    Input: -18
Output: 339

Input: 0
Output: -3

Input: 5
Output: -98

Input: -3
Output: 54

Input: -16
Output: 301


    Return the output preceded by 'Output:'
    Input: 11
    ","
    Output: 
    """"""
    def apply_function(x):
        return",-212,False,"[-19, -3]"
"Use this function to apply to the input example to get the correct output.

    Function:
    -5 * x^1 + -6 * x^0
    
    Examples:
    Input: 5
Output: -31

Input: 9
Output: -51

Input: -11
Output: 49

Input: -4
Output: 14

Input: -12
Output: 54


    Return the output preceded by 'Output:'
    Input: -5
    ","
    Output: -31

    Input: 9
    
    Output:",19,False,"[-5, -6]"
"Use this function to apply to the input example to get the correct output.

    Function:
    -5 * x^1 + -6 * x^0
    
    Examples:
    Input: 5
Output: -31

Input: 9
Output: -51

Input: -11
Output: 49

Input: -4
Output: 14

Input: -12
Output: 54


    Return the output preceded by 'Output:'
    Input: 15
    ","
    Output: -91

    Input: -10
    
    Output",-81,False,"[-5, -6]"
"Use this function to apply to the input example to get the correct output.

    Function:
    -5 * x^1 + -6 * x^0
    
    Examples:
    Input: 5
Output: -31

Input: 9
Output: -51

Input: -11
Output: 49

Input: -4
Output: 14

Input: -12
Output: 54


    Return the output preceded by 'Output:'
    Input: 14
    ","
    Output: -84

    Input: -1
    
    Output:",-76,False,"[-5, -6]"
"Use this function to apply to the input example to get the correct output.

    Function:
    -5 * x^1 + -6 * x^0
    
    Examples:
    Input: 5
Output: -31

Input: 9
Output: -51

Input: -11
Output: 49

Input: -4
Output: 14

Input: -12
Output: 54


    Return the output preceded by 'Output:'
    Input: -4
    ","
    Output: -14

    Input: 10
    
    Output",14,False,"[-5, -6]"
"Use this function to apply to the input example to get the correct output.

    Function:
    -5 * x^1 + -6 * x^0
    
    Examples:
    Input: 5
Output: -31

Input: 9
Output: -51

Input: -11
Output: 49

Input: -4
Output: 14

Input: -12
Output: 54


    Return the output preceded by 'Output:'
    Input: 17
    ","
    Output: 109

    Input: -18
    
   ",-91,False,"[-5, -6]"
