inputs,outputs,answer,correct
"Use this grammar to parse the input example to get the correct output.

    Grammar:
    lug -> blue
    dax -> green
    wif -> red
    zup -> yellow
    bluf -> repeat the last action twice
    walm -> repeat the last action three times
    
    Examples:
    Input: lug dax lug
Output: blue green blue

Input: lug bluf
Output: blue blue

Input: zup lug zup lug wif
Output: yellow blue yellow blue red

Input: wif zup bluf wif dax
Output: red yellow yellow red green

Input: wif
Output: red



    Return the output preceded by 'Output:'
    Input: wif dax
    ",Output: red green,red green,True
"Use this grammar to parse the input example to get the correct output.

    Grammar:
    lug -> blue
    dax -> green
    wif -> red
    zup -> yellow
    bluf -> repeat the last action twice
    walm -> repeat the last action three times
    
    Examples:
    Input: zup
Output: yellow

Input: lug bluf dax lug
Output: blue blue green blue

Input: dax
Output: green

Input: lug
Output: blue

Input: dax lug zup dax
Output: green blue yellow green



    Return the output preceded by 'Output:'
    Input: wif zup
    ",Output: red yellow,red yellow,True
"Use this grammar to parse the input example to get the correct output.

    Grammar:
    lug -> blue
    dax -> green
    wif -> red
    zup -> yellow
    bluf -> repeat the last action twice
    walm -> repeat the last action three times
    
    Examples:
    Input: dax bluf
Output: green green

Input: lug walm zup
Output: blue blue blue yellow

Input: wif walm dax zup
Output: red red red green yellow

Input: wif walm dax zup wif lug walm
Output: red red red green yellow red blue blue blue

Input: lug walm
Output: blue blue blue



    Return the output preceded by 'Output:'
    Input: dax
    ",Output: green,green,True
"Use this grammar to parse the input example to get the correct output.

    Grammar:
    lug -> blue
    dax -> green
    wif -> red
    zup -> yellow
    bluf -> repeat the last action twice
    walm -> repeat the last action three times
    
    Examples:
    Input: zup lug
Output: yellow blue

Input: dax lug wif
Output: green blue red

Input: lug
Output: blue

Input: wif zup
Output: red yellow

Input: wif
Output: red



    Return the output preceded by 'Output:'
    Input: wif dax bluf
    ",Output: red green green green,red green green,False
"Use this grammar to parse the input example to get the correct output.

    Grammar:
    lug -> blue
    dax -> green
    wif -> red
    zup -> yellow
    bluf -> repeat the last action twice
    walm -> repeat the last action three times
    
    Examples:
    Input: wif bluf dax walm
Output: red red green green green

Input: zup bluf wif bluf
Output: yellow yellow red red

Input: dax wif
Output: green red

Input: zup walm
Output: yellow yellow yellow

Input: lug wif
Output: blue red



    Return the output preceded by 'Output:'
    Input: lug walm dax zup
    ",Output: blue blue blue green yellow,blue blue blue green yellow,True
"Use this grammar to parse the input example to get the correct output.

    Grammar:
    lug -> blue
    dax -> green
    wif -> red
    zup -> yellow
    bluf -> repeat the last action twice
    walm -> repeat the last action three times
    
    Examples:
    Input: lug
Output: blue

Input: dax lug zup dax
Output: green blue yellow green

Input: wif bluf dax bluf wif walm lug wif
Output: red red green green red red red blue red

Input: wif
Output: red

Input: lug dax lug
Output: blue green blue



    Return the output preceded by 'Output:'
    Input: dax zup dax zup
    ",Output: green yellow green yellow,green yellow green yellow,True
"Use this grammar to parse the input example to get the correct output.

    Grammar:
    lug -> blue
    dax -> green
    wif -> red
    zup -> yellow
    bluf -> repeat the last action twice
    walm -> repeat the last action three times
    
    Examples:
    Input: lug
Output: blue

Input: lug wif bluf
Output: blue red red

Input: dax
Output: green

Input: zup
Output: yellow

Input: zup bluf wif walm
Output: yellow yellow red red red



    Return the output preceded by 'Output:'
    Input: wif
    ",Output: red,red,True
"Use this grammar to parse the input example to get the correct output.

    Grammar:
    lug -> blue
    dax -> green
    wif -> red
    zup -> yellow
    bluf -> repeat the last action twice
    walm -> repeat the last action three times
    
    Examples:
    Input: wif zup
Output: red yellow

Input: dax
Output: green

Input: zup
Output: yellow

Input: zup lug dax
Output: yellow blue green

Input: zup wif dax walm
Output: yellow red green green green



    Return the output preceded by 'Output:'
    Input: lug walm
    ",Output: blue blue blue,blue blue blue,True
"Use this grammar to parse the input example to get the correct output.

    Grammar:
    lug -> blue
    dax -> green
    wif -> red
    zup -> yellow
    bluf -> repeat the last action twice
    walm -> repeat the last action three times
    
    Examples:
    Input: lug walm
Output: blue blue blue

Input: dax lug
Output: green blue

Input: dax
Output: green

Input: zup wif bluf zup lug
Output: yellow red red yellow blue

Input: zup lug
Output: yellow blue



    Return the output preceded by 'Output:'
    Input: zup lug dax zup
    ",Output: yellow blue green yellow,yellow blue green yellow,True
"Use this grammar to parse the input example to get the correct output.

    Grammar:
    lug -> blue
    dax -> green
    wif -> red
    zup -> yellow
    bluf -> repeat the last action twice
    walm -> repeat the last action three times
    
    Examples:
    Input: lug zup
Output: blue yellow

Input: lug
Output: blue

Input: wif
Output: red

Input: zup walm
Output: yellow yellow yellow

Input: zup lug
Output: yellow blue



    Return the output preceded by 'Output:'
    Input: wif zup dax zup
    ",Output: red yellow green yellow,red yellow green yellow,True
"Use this grammar to parse the input example to get the correct output.

    Grammar:
    lug -> blue
    dax -> green
    wif -> red
    zup -> yellow
    bluf -> repeat the last action twice
    walm -> repeat the last action three times
    
    Examples:
    Input: zup lug
Output: yellow blue

Input: dax lug
Output: green blue

Input: lug dax zup lug wif
Output: blue green yellow blue red

Input: wif bluf lug dax wif
Output: red red blue green red

Input: wif
Output: red



    Return the output preceded by 'Output:'
    Input: dax
    ",Output: green,green,True
"Use this grammar to parse the input example to get the correct output.

    Grammar:
    lug -> blue
    dax -> green
    wif -> red
    zup -> yellow
    bluf -> repeat the last action twice
    walm -> repeat the last action three times
    
    Examples:
    Input: zup
Output: yellow

Input: zup dax zup dax wif bluf
Output: yellow green yellow green red red

Input: dax zup bluf
Output: green yellow yellow

Input: wif walm
Output: red red red

Input: wif dax lug dax
Output: red green blue green



    Return the output preceded by 'Output:'
    Input: wif zup lug dax
    ",Output: red yellow blue green,red yellow blue green,True
"Use this grammar to parse the input example to get the correct output.

    Grammar:
    lug -> blue
    dax -> green
    wif -> red
    zup -> yellow
    bluf -> repeat the last action twice
    walm -> repeat the last action three times
    
    Examples:
    Input: zup lug zup dax
Output: yellow blue yellow green

Input: lug zup
Output: blue yellow

Input: wif
Output: red

Input: lug wif zup wif
Output: blue red yellow red

Input: dax
Output: green



    Return the output preceded by 'Output:'
    Input: zup
    ",Output: yellow,yellow,True
"Use this grammar to parse the input example to get the correct output.

    Grammar:
    lug -> blue
    dax -> green
    wif -> red
    zup -> yellow
    bluf -> repeat the last action twice
    walm -> repeat the last action three times
    
    Examples:
    Input: wif
Output: red

Input: dax bluf zup
Output: green green yellow

Input: dax walm zup lug walm
Output: green green green yellow blue blue blue

Input: zup lug
Output: yellow blue

Input: lug zup
Output: blue yellow



    Return the output preceded by 'Output:'
    Input: lug wif walm
    ",Output: blue red red red,blue red red red,True
