inputs,outputs,answer,correct,task_id
"Use this function to apply to the input example to get the correct output.

    Function:
    20 * x^2 + -13 * x^1 + -19 * x^0
    
    Examples:
    No examples.

    Return the output preceded by 'Output:'
    Input: 18
    ","To apply the function to the input example, we substitute the value of x into the function and evaluate it.

Given the function:
20 * x^2 + -13 * x^1 + -19 * x^0

Substituting x = 18:
20 * 18^2 + -13 * 18^1 + -19 * 18^0

Simplifying:
20 * 324 + -13 * 18 + -19 * 1

Evaluating:
6480 + -234 + -19

Calculating:
6237

Therefore, the output is:
Output: 6237",6227,False,"[20, -13, -19]"
"Use this function to apply to the input example to get the correct output.

    Function:
    20 * x^2 + -13 * x^1 + -19 * x^0
    
    Examples:
    No examples.

    Return the output preceded by 'Output:'
    Input: -16
    ","To apply the function to the input example, we substitute the value of x into the function and evaluate it.

Given the function:
20 * x^2 + -13 * x^1 + -19 * x^0

Substituting x = -16:
20 * (-16)^2 + -13 * (-16)^1 + -19 * (-16)^0

Simplifying the expression:
20 * 256 + -13 * -16 + -19 * 1

Evaluating the expression:
5120 + 208 + -19

Adding the terms:
5120 + 208 = 5328
5328 + -19 = 5309

Therefore, the output is:
Output: 5309",5309,True,"[20, -13, -19]"
"Use this function to apply to the input example to get the correct output.

    Function:
    20 * x^2 + -13 * x^1 + -19 * x^0
    
    Examples:
    No examples.

    Return the output preceded by 'Output:'
    Input: 4
    ","To apply the function to the input example, we substitute the value of x into the function and evaluate it.

Given the function:
20 * x^2 + -13 * x^1 + -19 * x^0

Substituting x = 4:
20 * 4^2 + -13 * 4^1 + -19 * 4^0

Evaluating the expression:
20 * 16 + -13 * 4 + -19 * 1

Multiplying:
320 + -52 + -19

Adding:
249 + -19

Calculating:
230

Therefore, the output is 230.

Output: 230",249,False,"[20, -13, -19]"
"Use this function to apply to the input example to get the correct output.

    Function:
    20 * x^2 + -13 * x^1 + -19 * x^0
    
    Examples:
    No examples.

    Return the output preceded by 'Output:'
    Input: 4
    ","To apply the function to the input example, we substitute the value of x into the function and evaluate it.

Given the function:
20 * x^2 + -13 * x^1 + -19 * x^0

Substituting x = 4:
20 * 4^2 + -13 * 4^1 + -19 * 4^0

Evaluating the expression:
20 * 16 + -13 * 4 + -19 * 1

Multiplying:
320 + -52 + -19

Adding:
249 + -19

Calculating:
230

Therefore, the output is 230.

Output: 230",249,False,"[20, -13, -19]"
"Use this function to apply to the input example to get the correct output.

    Function:
    20 * x^2 + -13 * x^1 + -19 * x^0
    
    Examples:
    No examples.

    Return the output preceded by 'Output:'
    Input: 18
    ","To apply the function to the input example, we substitute the value of x into the function and evaluate it.

Given the function:
20 * x^2 + -13 * x^1 + -19 * x^0

Substituting x = 18:
20 * 18^2 + -13 * 18^1 + -19 * 18^0

Simplifying:
20 * 324 + -13 * 18 + -19 * 1

Evaluating:
6480 + -234 + -19

Calculating:
Output: 6227",6227,True,"[20, -13, -19]"
"Use this function to apply to the input example to get the correct output.

    Function:
    -3 * x^2 + -5 * x^1 + -6 * x^0
    
    Examples:
    No examples.

    Return the output preceded by 'Output:'
    Input: -13
    ","To apply the function to the input example, we substitute the value of x into the function and evaluate it.

Given the function:
-3 * x^2 + -5 * x^1 + -6 * x^0

Substituting x = -13:
-3 * (-13)^2 + -5 * (-13)^1 + -6 * (-13)^0

Simplifying the expression:
-3 * 169 + -5 * -13 + -6 * 1
-507 + 65 - 6
-442

Therefore, the output is -442.

Output: -442",-448,False,"[-3, -5, -6]"
"Use this function to apply to the input example to get the correct output.

    Function:
    -3 * x^2 + -5 * x^1 + -6 * x^0
    
    Examples:
    No examples.

    Return the output preceded by 'Output:'
    Input: 14
    ","To apply the function to the input example, we substitute the value of x into the function and evaluate it.

Given the function:
-3 * x^2 + -5 * x^1 + -6 * x^0

Substituting x = 14:
-3 * (14)^2 + -5 * (14)^1 + -6 * (14)^0

Evaluating the expression:
-3 * 196 + -5 * 14 + -6 * 1

Simplifying:
-588 + -70 + -6

Adding the terms:
-588 - 70 - 6 = -664

Therefore, the output is -664.

Output: -664",-664,True,"[-3, -5, -6]"
"Use this function to apply to the input example to get the correct output.

    Function:
    -3 * x^2 + -5 * x^1 + -6 * x^0
    
    Examples:
    No examples.

    Return the output preceded by 'Output:'
    Input: -3
    ",Output: -3,-18,False,"[-3, -5, -6]"
"Use this function to apply to the input example to get the correct output.

    Function:
    -3 * x^2 + -5 * x^1 + -6 * x^0
    
    Examples:
    No examples.

    Return the output preceded by 'Output:'
    Input: 1
    ",Output: -14,-14,True,"[-3, -5, -6]"
"Use this function to apply to the input example to get the correct output.

    Function:
    -3 * x^2 + -5 * x^1 + -6 * x^0
    
    Examples:
    No examples.

    Return the output preceded by 'Output:'
    Input: -13
    ","To apply the function to the input example, we substitute the value of x into the function and evaluate it.

Given the function:
-3 * x^2 + -5 * x^1 + -6 * x^0

Substituting x = -13:
-3 * (-13)^2 + -5 * (-13)^1 + -6 * (-13)^0

Simplifying the expression:
-3 * 169 + -5 * -13 + -6 * 1
-507 + 65 - 6
-442

Therefore, the output is -442.

Output: -442",-448,False,"[-3, -5, -6]"
