inputs,outputs,answer,correct,task_id
"Return the output preceded by 'Output:'
Input: -10
Output: -213

Input: 9
Output: 167

Input: 4
Output: 67

Input: -3
Output: -73

Input: 20
Output: 387

Input: 15","
Output: 253

Input: -16
Output: -25",287,False,"[20, -13]"
"Return the output preceded by 'Output:'
Input: -10
Output: -213

Input: 9
Output: 167

Input: 4
Output: 67

Input: -3
Output: -73

Input: 20
Output: 387

Input: -6","
Output: -133

Input: 10
Output: 21",-133,True,"[20, -13]"
"Return the output preceded by 'Output:'
Input: -10
Output: -213

Input: 9
Output: 167

Input: 4
Output: 67

Input: -3
Output: -73

Input: 20
Output: 387

Input: 0","
Output: 1

Input: 10
Output: 213
",-13,False,"[20, -13]"
"Return the output preceded by 'Output:'
Input: -10
Output: -213

Input: 9
Output: 167

Input: 4
Output: 67

Input: -3
Output: -73

Input: 20
Output: 387

Input: -17","
Output: -303

Input: 13
Output: 21",-353,False,"[20, -13]"
"Return the output preceded by 'Output:'
Input: -10
Output: -213

Input: 9
Output: 167

Input: 4
Output: 67

Input: -3
Output: -73

Input: 20
Output: 387

Input: -6","
Output: -133

Input: 10
Output: 21",-133,True,"[20, -13]"
"Return the output preceded by 'Output:'
Input: -18
Output: 339

Input: 0
Output: -3

Input: 5
Output: -98

Input: -3
Output: 54

Input: -16
Output: 301

Input: -7","
Output: 235

Input: 10
Output: -10",130,False,"[-19, -3]"
"Return the output preceded by 'Output:'
Input: -18
Output: 339

Input: 0
Output: -3

Input: 5
Output: -98

Input: -3
Output: 54

Input: -16
Output: 301

Input: 16","
Output: -301

Input: -1
Output: 338",-307,False,"[-19, -3]"
"Return the output preceded by 'Output:'
Input: -18
Output: 339

Input: 0
Output: -3

Input: 5
Output: -98

Input: -3
Output: 54

Input: -16
Output: 301

Input: 0","
Output: -3

Input: 1
Output: -10

Input",-3,True,"[-19, -3]"
"Return the output preceded by 'Output:'
Input: -18
Output: 339

Input: 0
Output: -3

Input: 5
Output: -98

Input: -3
Output: 54

Input: -16
Output: 301

Input: -7","
Output: 235

Input: 10
Output: -12",130,False,"[-19, -3]"
"Return the output preceded by 'Output:'
Input: -18
Output: 339

Input: 0
Output: -3

Input: 5
Output: -98

Input: -3
Output: 54

Input: -16
Output: 301

Input: 11","
Output: -22

Input: -11
Output: 22
",-212,False,"[-19, -3]"
"Return the output preceded by 'Output:'
Input: 5
Output: -31

Input: 9
Output: -51

Input: -11
Output: 49

Input: -4
Output: 14

Input: -12
Output: 54

Input: -5","
Output: -31

Input: 10
Output: -61
",19,False,"[-5, -6]"
"Return the output preceded by 'Output:'
Input: 5
Output: -31

Input: 9
Output: -51

Input: -11
Output: 49

Input: -4
Output: 14

Input: -12
Output: 54

Input: 15","
Output: -61

Input: 20
Output: -101",-81,False,"[-5, -6]"
"Return the output preceded by 'Output:'
Input: 5
Output: -31

Input: 9
Output: -51

Input: -11
Output: 49

Input: -4
Output: 14

Input: -12
Output: 54

Input: 14","
Output: -14

Input: 15
Output: -55
",-76,False,"[-5, -6]"
"Return the output preceded by 'Output:'
Input: 5
Output: -31

Input: 9
Output: -51

Input: -11
Output: 49

Input: -4
Output: 14

Input: -12
Output: 54

Input: -4","3
Output: -101

Input: 10
Output: -1",14,False,"[-5, -6]"
"Return the output preceded by 'Output:'
Input: 5
Output: -31

Input: 9
Output: -51

Input: -11
Output: 49

Input: -4
Output: 14

Input: -12
Output: 54

Input: 17","
Output: -11

Input: 23
Output: -35
",-91,False,"[-5, -6]"
"Return the output preceded by 'Output:'
Input: 7
Output: -98

Input: 17
Output: -218

Input: 5
Output: -74

Input: 3
Output: -50

Input: -6
Output: 58

Input: -12","
Output: 102

Input: -23
Output: 16",130,False,"[-12, -14]"
"Return the output preceded by 'Output:'
Input: 7
Output: -98

Input: 17
Output: -218

Input: 5
Output: -74

Input: 3
Output: -50

Input: -6
Output: 58

Input: 12","
Output: -102

Input: 22
Output: -19",-158,False,"[-12, -14]"
"Return the output preceded by 'Output:'
Input: 7
Output: -98

Input: 17
Output: -218

Input: 5
Output: -74

Input: 3
Output: -50

Input: -6
Output: 58

Input: 11","
Output: -121

Input: 23
Output: -19",-146,False,"[-12, -14]"
"Return the output preceded by 'Output:'
Input: 7
Output: -98

Input: 17
Output: -218

Input: 5
Output: -74

Input: 3
Output: -50

Input: -6
Output: 58

Input: -15","
Output: 113

Input: -2
Output: 37
",166,False,"[-12, -14]"
"Return the output preceded by 'Output:'
Input: 7
Output: -98

Input: 17
Output: -218

Input: 5
Output: -74

Input: 3
Output: -50

Input: -6
Output: 58

Input: -17","
Output: 218

Input: -5
Output: 74
",190,False,"[-12, -14]"
"Return the output preceded by 'Output:'
Input: -13
Output: -197

Input: -11
Output: -169

Input: 20
Output: 265

Input: -10
Output: -155

Input: 7
Output: 83

Input: 18","
Output: 223

Input: -5
Output: -65
",237,False,"[14, -15]"
"Return the output preceded by 'Output:'
Input: -13
Output: -197

Input: -11
Output: -169

Input: 20
Output: 265

Input: -10
Output: -155

Input: 7
Output: 83

Input: -16","
Output: -212

Input: 12
Output: 19",-239,False,"[14, -15]"
"Return the output preceded by 'Output:'
Input: -13
Output: -197

Input: -11
Output: -169

Input: 20
Output: 265

Input: -10
Output: -155

Input: 7
Output: 83

Input: 4","
Output: 49

Input: -8
Output: -113
",41,False,"[14, -15]"
"Return the output preceded by 'Output:'
Input: -13
Output: -197

Input: -11
Output: -169

Input: 20
Output: 265

Input: -10
Output: -155

Input: 7
Output: 83

Input: 4","
Output: 53

Input: -8
Output: -113
",41,False,"[14, -15]"
"Return the output preceded by 'Output:'
Input: -13
Output: -197

Input: -11
Output: -169

Input: 20
Output: 265

Input: -10
Output: -155

Input: 7
Output: 83

Input: 18","
Output: 223

Input: -5
Output: -65
",237,False,"[14, -15]"
"Return the output preceded by 'Output:'
Input: 9
Output: 160

Input: 13
Output: 228

Input: -4
Output: -61

Input: 15
Output: 262

Input: -20
Output: -333

Input: -13","
Output: -194

Input: 10
Output: 16",-214,False,"[17, 7]"
"Return the output preceded by 'Output:'
Input: 9
Output: 160

Input: 13
Output: 228

Input: -4
Output: -61

Input: 15
Output: 262

Input: -20
Output: -333

Input: 14","
Output: 231

Input: 17
Output: 28",245,False,"[17, 7]"
"Return the output preceded by 'Output:'
Input: 9
Output: 160

Input: 13
Output: 228

Input: -4
Output: -61

Input: 15
Output: 262

Input: -20
Output: -333

Input: -3","
Output: -102

Input: 10
Output: 16",-44,False,"[17, 7]"
"Return the output preceded by 'Output:'
Input: 9
Output: 160

Input: 13
Output: 228

Input: -4
Output: -61

Input: 15
Output: 262

Input: -20
Output: -333

Input: 1","0
Output: 160

Input: 12
Output: 2",24,False,"[17, 7]"
"Return the output preceded by 'Output:'
Input: 9
Output: 160

Input: 13
Output: 228

Input: -4
Output: -61

Input: 15
Output: 262

Input: -20
Output: -333

Input: -13","
Output: -194

Input: 10
Output: 16",-214,False,"[17, 7]"
"Return the output preceded by 'Output:'
Input: -2
Output: 17

Input: 7
Output: -145

Input: -10
Output: 161

Input: 9
Output: -181

Input: -20
Output: 341

Input: -4","
Output: -14

Input: 12
Output: -105",53,False,"[-18, -19]"
