all_hyps,all_probs,task_id,for_word
"
lug -> meaning

Example answers:

lug -> color
lug ->",-6.84328786334,0,lug
"
lug -> meaning

Example answers:

lug -> color
lug ->",-6.84328786334,0,lug
"
lug -> meaning

Example answers:

lug -> color
lug ->",-6.84328786334,0,lug
"
lug -> meaning

Example answers:

lug -> color
lug ->",-6.84328786334,0,lug
"
lug -> meaning

Example answers:

lug -> color
lug ->",-6.84328786334,0,lug
"
dax -> meaning

Example:

dax -> color

Please provide your",-9.110204985000001,0,dax
"
dax -> meaning

Example:

dax -> color

Please provide your",-9.110204985000001,0,dax
"
dax -> meaning

Example:

dax -> color

Please provide your",-9.110204985000001,0,dax
"
dax -> meaning

Example:

dax -> color

Please provide your",-9.110204985000001,0,dax
"
dax -> meaning

Example:

dax -> color

Please provide your",-9.110204985000001,0,dax
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-8.0552104076,0,wif
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-8.0552104076,0,wif
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-8.0552104076,0,wif
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-8.0552104076,0,wif
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-8.0552104076,0,wif
"
zup -> meaning

Example: zup -> color

Note: You can also",-7.969678823859999,0,zup
"
zup -> meaning

Example: zup -> color

Note: You can also",-7.969678823859999,0,zup
"
zup -> meaning

Example: zup -> color

Note: You can also",-7.969678823859999,0,zup
"
zup -> meaning

Example: zup -> color

Note: You can also",-7.969678823859999,0,zup
"
zup -> meaning

Example: zup -> color

Note: You can also",-7.969678823859999,0,zup
"
Example: bluf -> color

or

Example: bluf -> move left
",-10.97132916188,0,bluf
"
Example: bluf -> color

or

Example: bluf -> move left
",-10.97132916188,0,bluf
"
Example: bluf -> color

or

Example: bluf -> move left
",-10.97132916188,0,bluf
"
Example: bluf -> color

or

Example: bluf -> move left
",-10.97132916188,0,bluf
"
Example: bluf -> color

or

Example: bluf -> move left
",-10.97132916188,0,bluf
"
walm -> meaning

Example: walm -> color

Note: You can also",-10.993665271240001,0,walm
