all_hyps,all_probs,task_id,for_word
"
lug -> meaning

Example answers:

lug -> color
lug ->",-1.9388159862887324,0,lug
"
lug -> meaning

Example answers:

lug -> color
lug ->",-1.9388159862887324,0,lug
"
lug -> meaning

Example answers:

lug -> color
lug ->",-1.9388159862887324,0,lug
"
lug -> meaning

Example answers:

lug -> color
lug ->",-1.9388159862887324,0,lug
"
lug -> meaning

Example answers:

lug -> color
lug ->",-1.9388159862887324,0,lug
"
dax -> meaning

Example:

dax -> color

Note:
",-1.8561741348186807,0,dax
"
dax -> meaning

Example:

dax -> color

Note:
",-1.8561741348186807,0,dax
"
dax -> meaning

Example:

dax -> color

Note:
",-1.8561741348186807,0,dax
"
dax -> meaning

Example:

dax -> color

Note:
",-1.8561741348186807,0,dax
"
dax -> meaning

Example:

dax -> color

Note:
",-1.8561741348186807,0,dax
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-1.7850830058343754,0,wif
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-1.7850830058343754,0,wif
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-1.7850830058343754,0,wif
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-1.7850830058343754,0,wif
"
wif -> meaning

Example: wif -> color

Please provide your answer in",-1.7850830058343754,0,wif
"
zup -> meaning

Example: zup -> color

Note: You can also",-1.7677841964122223,0,zup
"
zup -> meaning

Example: zup -> color

Note: You can also",-1.7677841964122223,0,zup
"
zup -> meaning

Example: zup -> color

Note: You can also",-1.7677841964122223,0,zup
"
zup -> meaning

Example: zup -> color

Note: You can also",-1.7677841964122223,0,zup
"
zup -> meaning

Example: zup -> color

Note: You can also",-1.7677841964122223,0,zup
"
bluf -> meaning

Example: bluf -> color

Note: You can also",-1.7610433000036698,0,bluf
"
bluf -> meaning

Example: bluf -> color

Note: You can also",-1.7610433000036698,0,bluf
"
bluf -> meaning

Example: bluf -> color

Note: You can also",-1.7610433000036698,0,bluf
"
bluf -> meaning

Example: bluf -> color

Note: You can also",-1.7610433000036698,0,bluf
"
bluf -> meaning

Example: bluf -> color

Note: You can also",-1.7610433000036698,0,bluf
"
walm -> meaning

Example: walm -> color

Note: You can also",-1.8642928364578426,0,walm
"
walm -> meaning

Example: walm -> color

Note: You can also",-1.8642928364578426,0,walm
"
walm -> meaning

Example: walm -> color

Note: You can also",-1.8642928364578426,0,walm
"
walm -> meaning

Example: walm -> color

Note: You can also",-1.8642928364578426,0,walm
"
walm -> meaning

Example: walm -> color

Note: You can also",-1.8642928364578426,0,walm
"
lug -> meaning

Example:

lug -> color

Please provide your",-1.6095387440466662,1,lug
"
lug -> meaning

Example:

lug -> color

Please provide your",-1.6095387440466662,1,lug
"
lug -> meaning

Example:

lug -> color

Please provide your",-1.6095387440466662,1,lug
"
lug -> meaning

Example:

lug -> color

Please provide your",-1.6095387440466662,1,lug
"
lug -> meaning

Example:

lug -> color

Please provide your",-1.6095387440466662,1,lug
"
dax -> meaning

Example:

dax -> color

Explanation",-2.0152787393015155,1,dax
"
dax -> meaning

Example:

dax -> color

Explanation",-2.0152787393015155,1,dax
