all_hyps,all_probs,task_id,for_word
"
For example 1, the nonce word lug means ""blue"".
For example 2",-7.3188213925,0,lug
"
For example 1, the nonce word lug means ""blue"".
For example 2",-7.3188213925,0,lug
"
For example 1, the nonce word lug means ""blue"".
For example 2",-7.3188213925,0,lug
"
For example 1, the nonce word lug means ""blue"".
For example 2",-7.3188213925,0,lug
"
For example 1, the nonce word lug means ""blue"".
For example 2",-7.3188213925,0,lug
"
For example 1, the nonce word dax means ""green"".
For example ",-11.55985189978,0,dax
"
For example 1, the nonce word dax means ""green"".
For example ",-11.55985189978,0,dax
"
For example 1, the nonce word dax means ""green"".
For example ",-11.55985189978,0,dax
"
For example 1, the nonce word dax means ""green"".
For example ",-11.55985189978,0,dax
"
For example 1, the nonce word dax means ""green"".
For example ",-11.55985189978,0,dax
"
For example 1, wif means ""red"".
For example 2, wif",-9.3058315444,0,wif
"
For example 1, wif means ""red"".
For example 2, wif",-9.3058315444,0,wif
"
For example 1, wif means ""red"".
For example 2, wif",-9.3058315444,0,wif
"
For example 1, wif means ""red"".
For example 2, wif",-9.3058315444,0,wif
"
For example 1, wif means ""red"".
For example 2, wif",-9.3058315444,0,wif
"
For example 1, the nonce word zup means ""yellow"".
For example ",-6.196807744919999,0,zup
"
For example 1, the nonce word zup means ""yellow"".
For example ",-6.196807744919999,0,zup
"
For example 1, the nonce word zup means ""yellow"".
For example ",-6.196807744919999,0,zup
"
For example 1, the nonce word zup means ""yellow"".
For example ",-6.196807744919999,0,zup
"
For example 1, the nonce word zup means ""yellow"".
For example ",-6.196807744919999,0,zup
"
For example 1, bluf means ""yellow"".
For example 2, bluf",-11.09557486452,0,bluf
"
For example 1, bluf means ""yellow"".
For example 2, bluf",-11.09557486452,0,bluf
"
For example 1, bluf means ""yellow"".
For example 2, bluf",-11.09557486452,0,bluf
"
For example 1, bluf means ""yellow"".
For example 2, bluf",-11.09557486452,0,bluf
"
For example 1, bluf means ""yellow"".
For example 2, bluf",-11.09557486452,0,bluf
"
For example 1, walm means yellow.
For example 2, walm means",-11.71581026188,0,walm
"
For example 1, walm means yellow.
For example 2, walm means",-11.71581026188,0,walm
"
For example 1, walm means yellow.
For example 2, walm means",-11.71581026188,0,walm
"
For example 1, walm means yellow.
For example 2, walm means",-11.71581026188,0,walm
"
For example 1, walm means yellow.
For example 2, walm means",-11.71581026188,0,walm
"
For example, in the first two inputs, lug means blue. In the third input, lug",-5.532002889999999,1,lug
"
For example, in the first two inputs, lug means blue. In the third input, lug",-5.532002889999999,1,lug
"
For example, in the first two inputs, lug means blue. In the third input, lug",-5.532002889999999,1,lug
"
For example, in the first two inputs, lug means blue. In the third input, lug",-5.532002889999999,1,lug
"
For example, in the first two inputs, lug means blue. In the third input, lug",-5.532002889999999,1,lug
"
For example, in the first two inputs, dax means ""green"".
In the third",-6.661752955440001,1,dax
"
For example, in the first two inputs, dax means ""green"".
In the third",-6.661752955440001,1,dax
"
For example, in the first two inputs, dax means ""green"".
In the third",-6.661752955440001,1,dax
"
For example, in the first two inputs, dax means ""green"".
In the third",-6.661752955440001,1,dax
"
For example, in the first two inputs, dax means ""green"".
In the third",-6.661752955440001,1,dax
