inputs,outputs,answer,correct,task_id
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: -10
Output: -213

Input: 9
Output: 167

Input: 4
Output: 67

Input: -3
Output: -73

Input: 20
Output: 387


    Return the output preceded by 'Output:'
    Input: 15
    ","Output: Output: 235

    Input: -5
     Output: Output",287,False,"[20, -13]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: -10
Output: -213

Input: 9
Output: 167

Input: 4
Output: 67

Input: -3
Output: -73

Input: 20
Output: 387


    Return the output preceded by 'Output:'
    Input: -6
    ","Output: Output: -105

    Input: 10
     Output:",-133,False,"[20, -13]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: -10
Output: -213

Input: 9
Output: 167

Input: 4
Output: 67

Input: -3
Output: -73

Input: 20
Output: 387


    Return the output preceded by 'Output:'
    Input: 0
    ","Output: 0

    Input: 1
     Output: 1

   ",-13,False,"[20, -13]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: -10
Output: -213

Input: 9
Output: 167

Input: 4
Output: 67

Input: -3
Output: -73

Input: 20
Output: 387


    Return the output preceded by 'Output:'
    Input: -17
    ","Output: Output: -213

    Input: 12
     Output:",-353,False,"[20, -13]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: -10
Output: -213

Input: 9
Output: 167

Input: 4
Output: 67

Input: -3
Output: -73

Input: 20
Output: 387


    Return the output preceded by 'Output:'
    Input: -6
    ","Output: Output: -105

    Input: 10
     Output:",-133,False,"[20, -13]"
"Use this function to apply to the input example to get the correct output.

    

    However, just write the output like what's shown in these examples.
    Input: -18
Output: 339

Input: 0
Output: -3

Input: 5
Output: -98

Input: -3
Output: 54

Input: -16
Output: 301


    Return the output preceded by 'Output:'
    Input: -7
    ","Output: 233













",130,False,"[-19, -3]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: -18
Output: 339

Input: 0
Output: -3

Input: 5
Output: -98

Input: -3
Output: 54

Input: -16
Output: 301


    Return the output preceded by 'Output:'
    Input: 16
    ","



















",-307,False,"[-19, -3]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: -18
Output: 339

Input: 0
Output: -3

Input: 5
Output: -98

Input: -3
Output: 54

Input: -16
Output: 301


    Return the output preceded by 'Output:'
    Input: 0
    ","Output: -3

    Input: 5
     Output: -98

",-3,True,"[-19, -3]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: -18
Output: 339

Input: 0
Output: -3

Input: 5
Output: -98

Input: -3
Output: 54

Input: -16
Output: 301


    Return the output preceded by 'Output:'
    Input: -7
    ","Output: 233













",130,False,"[-19, -3]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: -18
Output: 339

Input: 0
Output: -3

Input: 5
Output: -98

Input: -3
Output: 54

Input: -16
Output: 301


    Return the output preceded by 'Output:'
    Input: 11
    ","



















",-212,False,"[-19, -3]"
"Use this function to apply to the input example to get the correct output.

    y

    However, just write the output like what's shown in these examples.
    Input: 5
Output: -31

Input: 9
Output: -51

Input: -11
Output: 49

Input: -4
Output: 14

Input: -12
Output: 54


    Return the output preceded by 'Output:'
    Input: -5
    ","Output: Output: -31

    Input: 10
     Output: Output",19,False,"[-5, -6]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: 5
Output: -31

Input: 9
Output: -51

Input: -11
Output: 49

Input: -4
Output: 14

Input: -12
Output: 54


    Return the output preceded by 'Output:'
    Input: 15
    ","



















",-81,False,"[-5, -6]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: 5
Output: -31

Input: 9
Output: -51

Input: -11
Output: 49

Input: -4
Output: 14

Input: -12
Output: 54


    Return the output preceded by 'Output:'
    Input: 14
    ","Output: Output: 23

    Input: -15
     Output: Output",-76,False,"[-5, -6]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: 5
Output: -31

Input: 9
Output: -51

Input: -11
Output: 49

Input: -4
Output: 14

Input: -12
Output: 54


    Return the output preceded by 'Output:'
    Input: -4
    ","Output: Output: 14

    Input: 5
     Output: Output:",14,True,"[-5, -6]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: 5
Output: -31

Input: 9
Output: -51

Input: -11
Output: 49

Input: -4
Output: 14

Input: -12
Output: 54


    Return the output preceded by 'Output:'
    Input: 17
    ","



















",-91,False,"[-5, -6]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: 7
Output: -98

Input: 17
Output: -218

Input: 5
Output: -74

Input: 3
Output: -50

Input: -6
Output: 58


    Return the output preceded by 'Output:'
    Input: -12
    ","Output: Output: -104

    Input: 10
     Output:",130,False,"[-12, -14]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: 7
Output: -98

Input: 17
Output: -218

Input: 5
Output: -74

Input: 3
Output: -50

Input: -6
Output: 58


    Return the output preceded by 'Output:'
    Input: 12
    ","Output: Output: 102

    Input: -12
     Output:",-158,False,"[-12, -14]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: 7
Output: -98

Input: 17
Output: -218

Input: 5
Output: -74

Input: 3
Output: -50

Input: -6
Output: 58


    Return the output preceded by 'Output:'
    Input: 11
    ","



















",-146,False,"[-12, -14]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: 7
Output: -98

Input: 17
Output: -218

Input: 5
Output: -74

Input: 3
Output: -50

Input: -6
Output: 58


    Return the output preceded by 'Output:'
    Input: -15
    ","Output: Output: -218

    Input: 10
     Output:",166,False,"[-12, -14]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: 7
Output: -98

Input: 17
Output: -218

Input: 5
Output: -74

Input: 3
Output: -50

Input: -6
Output: 58


    Return the output preceded by 'Output:'
    Input: -17
    ","Output: Output: -218

    Input: 10
     Output:",190,False,"[-12, -14]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: -13
Output: -197

Input: -11
Output: -169

Input: 20
Output: 265

Input: -10
Output: -155

Input: 7
Output: 83


    Return the output preceded by 'Output:'
    Input: 18
    ","Output: Output: 205

    Input: -12
     Output:",237,False,"[14, -15]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: -13
Output: -197

Input: -11
Output: -169

Input: 20
Output: 265

Input: -10
Output: -155

Input: 7
Output: 83


    Return the output preceded by 'Output:'
    Input: -16
    ","Output: Output: -239

    Input: 12
     Output:",-239,True,"[14, -15]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: -13
Output: -197

Input: -11
Output: -169

Input: 20
Output: 265

Input: -10
Output: -155

Input: 7
Output: 83


    Return the output preceded by 'Output:'
    Input: 4
    ","Output: Output: 160

    Input: -5
     Output: Output",41,False,"[14, -15]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: -13
Output: -197

Input: -11
Output: -169

Input: 20
Output: 265

Input: -10
Output: -155

Input: 7
Output: 83


    Return the output preceded by 'Output:'
    Input: 4
    ","Output: Output: 160

    Input: -5
     Output: Output",41,False,"[14, -15]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: -13
Output: -197

Input: -11
Output: -169

Input: 20
Output: 265

Input: -10
Output: -155

Input: 7
Output: 83


    Return the output preceded by 'Output:'
    Input: 18
    ","Output: Output: 205

    Input: -12
     Output:",237,False,"[14, -15]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: 9
Output: 160

Input: 13
Output: 228

Input: -4
Output: -61

Input: 15
Output: 262

Input: -20
Output: -333


    Return the output preceded by 'Output:'
    Input: -13
    ","Output: Output: -228

    Input: 10
     Output:",-214,False,"[17, 7]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: 9
Output: 160

Input: 13
Output: 228

Input: -4
Output: -61

Input: 15
Output: 262

Input: -20
Output: -333


    Return the output preceded by 'Output:'
    Input: 14
    ","Output: 200

    Input: 10
     Output: 1",245,False,"[17, 7]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: 9
Output: 160

Input: 13
Output: 228

Input: -4
Output: -61

Input: 15
Output: 262

Input: -20
Output: -333


    Return the output preceded by 'Output:'
    Input: -3
    ","Output: Output: -21

    Input: 10
     Output: Output",-44,False,"[17, 7]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: 9
Output: 160

Input: 13
Output: 228

Input: -4
Output: -61

Input: 15
Output: 262

Input: -20
Output: -333


    Return the output preceded by 'Output:'
    Input: 1
    ","Output: 1

    Input: 10
     Output: 10
",24,False,"[17, 7]"
"Use this function to apply to the input example to get the correct output.

    *

    However, just write the output like what's shown in these examples.
    Input: 9
Output: 160

Input: 13
Output: 228

Input: -4
Output: -61

Input: 15
Output: 262

Input: -20
Output: -333


    Return the output preceded by 'Output:'
    Input: -13
    ","Output: Output: -228

    Input: 10
     Output:",-214,False,"[17, 7]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: -2
Output: 17

Input: 7
Output: -145

Input: -10
Output: 161

Input: 9
Output: -181

Input: -20
Output: 341


    Return the output preceded by 'Output:'
    Input: -4
    ","Output: 23

    Input: 10
     Output: -10",53,False,"[-18, -19]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: -2
Output: 17

Input: 7
Output: -145

Input: -10
Output: 161

Input: 9
Output: -181

Input: -20
Output: 341


    Return the output preceded by 'Output:'
    Input: 12
    ","Output: 204

    Input: -5
     Output: 13",-235,False,"[-18, -19]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: -2
Output: 17

Input: 7
Output: -145

Input: -10
Output: 161

Input: 9
Output: -181

Input: -20
Output: 341


    Return the output preceded by 'Output:'
    Input: -9
    ","Output: 17

    Input: 10
     Output: -14",143,False,"[-18, -19]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: -2
Output: 17

Input: 7
Output: -145

Input: -10
Output: 161

Input: 9
Output: -181

Input: -20
Output: 341


    Return the output preceded by 'Output:'
    Input: 12
    ","Output: 204

    Input: -5
     Output: 13",-235,False,"[-18, -19]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: -2
Output: 17

Input: 7
Output: -145

Input: -10
Output: 161

Input: 9
Output: -181

Input: -20
Output: 341


    Return the output preceded by 'Output:'
    Input: -14
    ","Output: 20

    Input: 10
     Output: -12",233,False,"[-18, -19]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: 20
Output: -307

Input: -1
Output: 8

Input: 20
Output: -307

Input: 12
Output: -187

Input: 18
Output: -277


    Return the output preceded by 'Output:'
    Input: -8
    ","Output: Output:-128

    Input: 10
     Output: Output",113,False,"[-15, -7]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: 20
Output: -307

Input: -1
Output: 8

Input: 20
Output: -307

Input: 12
Output: -187

Input: 18
Output: -277


    Return the output preceded by 'Output:'
    Input: -11
    ","Output: Output: -187

    Input: 10
     Output:",158,False,"[-15, -7]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: 20
Output: -307

Input: -1
Output: 8

Input: 20
Output: -307

Input: 12
Output: -187

Input: 18
Output: -277


    Return the output preceded by 'Output:'
    Input: 3
    ","Output: 3

    Input: 10
     Output: 10
",-52,False,"[-15, -7]"
"Use this function to apply to the input example to get the correct output.

    


    However, just write the output like what's shown in these examples.
    Input: 20
Output: -307

Input: -1
Output: 8

Input: 20
Output: -307

Input: 12
Output: -187

Input: 18
Output: -277


    Return the output preceded by 'Output:'
    Input: -10
    ","Output: -277

    Input: 10
     Output: -1",143,False,"[-15, -7]"
